	Questions	Queries	Pairs	Masked Questions
37	How many different countries are players from?	SELECT COUNT (DISTINCT Country) FROM player	"/* Answer the following: How many different countries are players from? */
SELECT COUNT (DISTINCT Country) FROM player
"	How many different countries are <mask> from?
38	"Show the earnings of players from country ""Australia"" or ""Zimbabwe""."	"SELECT Earnings FROM player WHERE Country  =  ""Australia"" OR Country  =  ""Zimbabwe"""	"/* Answer the following: Show the earnings of players from country ""Australia"" or ""Zimbabwe"". */
SELECT Earnings FROM player WHERE Country  =  ""Australia"" OR Country  =  ""Zimbabwe""
"	"Show the <mask> of <mask> from <mask> ""<mask>"" or ""<mask>""."
39	What are the earnings of players from either of the countries of Australia or Zimbabwe?	"SELECT Earnings FROM player WHERE Country  =  ""Australia"" OR Country  =  ""Zimbabwe"""	"/* Answer the following: What are the earnings of players from either of the countries of Australia or Zimbabwe? */
SELECT Earnings FROM player WHERE Country  =  ""Australia"" OR Country  =  ""Zimbabwe""
"	What are the <mask> of <mask> from either of the countries of <mask> or <mask>?
56	What is the most popular payment method?	SELECT Payment_method_code FROM Customer_Payment_Methods GROUP BY Payment_method_code ORDER BY count(*) DESC LIMIT 1	"/* Answer the following: What is the most popular payment method? */
SELECT Payment_method_code FROM Customer_Payment_Methods GROUP BY Payment_method_code ORDER BY count(*) DESC LIMIT 1
"	What is the most popular payment method?
57	What is the payment method that most customers use?	SELECT Payment_method_code FROM Customer_Payment_Methods GROUP BY Payment_method_code ORDER BY count(*) DESC LIMIT 1	"/* Answer the following: What is the payment method that most customers use? */
SELECT Payment_method_code FROM Customer_Payment_Methods GROUP BY Payment_method_code ORDER BY count(*) DESC LIMIT 1
"	What is the payment method that most customers use?
74	What are invoices status of all the orders which have not been shipped?	SELECT invoice_status_code FROM Invoices WHERE invoice_number NOT IN ( SELECT invoice_number FROM Shipments )	"/* Answer the following: What are invoices status of all the orders which have not been shipped? */
SELECT invoice_status_code FROM Invoices WHERE invoice_number NOT IN ( SELECT invoice_number FROM Shipments )
"	What are <mask> status of all the orders which have not been shipped?
75	What are the invoice statuses for all orderes that have not been shipped out yet?	SELECT invoice_status_code FROM Invoices WHERE invoice_number NOT IN ( SELECT invoice_number FROM Shipments )	"/* Answer the following: What are the invoice statuses for all orderes that have not been shipped out yet? */
SELECT invoice_status_code FROM Invoices WHERE invoice_number NOT IN ( SELECT invoice_number FROM Shipments )
"	What are the invoice statuses for all orderes that have not been shipped out yet?
78	How many customers have placed any order?	SELECT count(DISTINCT customer_id) FROM Orders	"/* Answer the following: How many customers have placed any order? */
SELECT count(DISTINCT customer_id) FROM Orders
"	How many customers have placed any order?
79	How many different customers have ordered things?	SELECT count(DISTINCT customer_id) FROM Orders	"/* Answer the following: How many different customers have ordered things? */
SELECT count(DISTINCT customer_id) FROM Orders
"	How many different customers have ordered things?
80	How many item states are there in the orders?	SELECT count(DISTINCT order_item_status_code) FROM Order_items	"/* Answer the following: How many item states are there in the orders? */
SELECT count(DISTINCT order_item_status_code) FROM Order_items
"	How many item states are there in the orders?
81	How many different item status codes are there listed in ordered items?	SELECT count(DISTINCT order_item_status_code) FROM Order_items	"/* Answer the following: How many different item status codes are there listed in ordered items? */
SELECT count(DISTINCT order_item_status_code) FROM Order_items
"	How many different item status codes are there listed in ordered items?
82	How many different payment methods are there?	SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods	"/* Answer the following: How many different payment methods are there? */
SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
"	How many different payment methods are there?
83	How many different payment methods can customers choose from?	SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods	"/* Answer the following: How many different payment methods can customers choose from? */
SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
"	How many different payment methods can customers choose from?
84	What are the login names and passwords of the customers whose phone number have the prefix '+12'?	SELECT login_name ,  login_password FROM Customers WHERE phone_number LIKE '+12%'	"/* Answer the following: What are the login names and passwords of the customers whose phone number have the prefix '+12'? */
SELECT login_name ,  login_password FROM Customers WHERE phone_number LIKE '+12%'
"	What are the login names and passwords of the <mask> whose phone number have the prefix '+12'?
85	What are the usernames and passwords of all customers whose phone number starts with '+12'?	SELECT login_name ,  login_password FROM Customers WHERE phone_number LIKE '+12%'	"/* Answer the following: What are the usernames and passwords of all customers whose phone number starts with '+12'? */
SELECT login_name ,  login_password FROM Customers WHERE phone_number LIKE '+12%'
"	What are the usernames and passwords of all <mask> whose phone number starts with '+12'?
86	What are the product sizes of the products whose name has the substring 'Dell'?	SELECT product_size FROM Products WHERE product_name LIKE '%Dell%'	"/* Answer the following: What are the product sizes of the products whose name has the substring 'Dell'? */
SELECT product_size FROM Products WHERE product_name LIKE '%Dell%'
"	What are the product sizes of the <mask> whose name has the substring '<mask>'?
87	What are the sizes of all products whose name includes the word 'Dell'?	SELECT product_size FROM Products WHERE product_name LIKE '%Dell%'	"/* Answer the following: What are the sizes of all products whose name includes the word 'Dell'? */
SELECT product_size FROM Products WHERE product_name LIKE '%Dell%'
"	What are the sizes of all <mask> whose name includes the word '<mask>'?
88	What are the product price and the product size of the products whose price is above average?	SELECT product_price ,  product_size FROM Products WHERE product_price  >  ( SELECT avg(product_price) FROM Products )	"/* Answer the following: What are the product price and the product size of the products whose price is above average? */
SELECT product_price ,  product_size FROM Products WHERE product_price  >  ( SELECT avg(product_price) FROM Products )
"	What are the product price and the product size of the <mask> whose price is above average?
89	What are the prices and sizes of all products whose price is above the mean?	SELECT product_price ,  product_size FROM Products WHERE product_price  >  ( SELECT avg(product_price) FROM Products )	"/* Answer the following: What are the prices and sizes of all products whose price is above the mean? */
SELECT product_price ,  product_size FROM Products WHERE product_price  >  ( SELECT avg(product_price) FROM Products )
"	What are the prices and sizes of all <mask> whose price is above the mean?
90	How many kinds of products have not been sold?	SELECT count(*) FROM Products WHERE product_id NOT IN ( SELECT product_id FROM Order_items )	"/* Answer the following: How many kinds of products have not been sold? */
SELECT count(*) FROM Products WHERE product_id NOT IN ( SELECT product_id FROM Order_items )
"	How many kinds of <mask> have not been sold?
91	What is the number of products that have not been ordered yet?	SELECT count(*) FROM Products WHERE product_id NOT IN ( SELECT product_id FROM Order_items )	"/* Answer the following: What is the number of products that have not been ordered yet? */
SELECT count(*) FROM Products WHERE product_id NOT IN ( SELECT product_id FROM Order_items )
"	What is the number of <mask> that have not been ordered yet?
92	How many customers do not have any payment method?	SELECT count(*) FROM Customers WHERE customer_id NOT IN ( SELECT customer_id FROM Customer_Payment_Methods )	"/* Answer the following: How many customers do not have any payment method? */
SELECT count(*) FROM Customers WHERE customer_id NOT IN ( SELECT customer_id FROM Customer_Payment_Methods )
"	How many <mask> do not have any payment method?
93	How many customers do not have a listed payment method?	SELECT count(*) FROM Customers WHERE customer_id NOT IN ( SELECT customer_id FROM Customer_Payment_Methods )	"/* Answer the following: How many customers do not have a listed payment method? */
SELECT count(*) FROM Customers WHERE customer_id NOT IN ( SELECT customer_id FROM Customer_Payment_Methods )
"	How many <mask> do not have a listed payment method?
94	What are all the order status and all the dates of orders?	SELECT order_status_code ,  date_order_placed FROM Orders	"/* Answer the following: What are all the order status and all the dates of orders? */
SELECT order_status_code ,  date_order_placed FROM Orders
"	What are all the order status and all the dates of <mask>?
95	What are the status codes and dates placed for all of the orders?	SELECT order_status_code ,  date_order_placed FROM Orders	"/* Answer the following: What are the status codes and dates placed for all of the orders? */
SELECT order_status_code ,  date_order_placed FROM Orders
"	What are the status codes and dates placed for all of the <mask>?
96	List the address, town and county information of the customers who live in the USA.	SELECT address_line_1 ,  town_city ,  county FROM Customers WHERE Country  =  'USA'	"/* Answer the following: List the address, town and county information of the customers who live in the USA. */
SELECT address_line_1 ,  town_city ,  county FROM Customers WHERE Country  =  'USA'
"	List the address, town and <mask> information of the <mask> who live in the USA.
97	What are the addresses, towns, and county information for all customers who live in the United States?	SELECT address_line_1 ,  town_city ,  county FROM Customers WHERE Country  =  'USA'	"/* Answer the following: What are the addresses, towns, and county information for all customers who live in the United States? */
SELECT address_line_1 ,  town_city ,  county FROM Customers WHERE Country  =  'USA'
"	What are the addresses, towns, and <mask> information for all <mask> who live in the United States?
100	How many items are shipped?	SELECT count(*) FROM Shipment_Items	"/* Answer the following: How many items are shipped? */
SELECT count(*) FROM Shipment_Items
"	How many items are shipped?
101	How many products have been shipped?	SELECT count(*) FROM Shipment_Items	"/* Answer the following: How many products have been shipped? */
SELECT count(*) FROM Shipment_Items
"	How many products have been shipped?
102	What is the product average price?	SELECT avg(product_price) FROM Products	"/* Answer the following: What is the product average price? */
SELECT avg(product_price) FROM Products
"	What is the product average price?
103	How much do the products cost on average?	SELECT avg(product_price) FROM Products	"/* Answer the following: How much do the products cost on average? */
SELECT avg(product_price) FROM Products
"	How much do the <mask> cost on average?
106	What are the email address, town and county of the customers who are of the least common gender?	SELECT email_address ,  town_city ,  county FROM Customers WHERE gender_code  =  ( SELECT gender_code FROM Customers GROUP BY gender_code ORDER BY count(*) ASC LIMIT 1 )	"/* Answer the following: What are the email address, town and county of the customers who are of the least common gender? */
SELECT email_address ,  town_city ,  county FROM Customers WHERE gender_code  =  ( SELECT gender_code FROM Customers GROUP BY gender_code ORDER BY count(*) ASC LIMIT 1 )
"	What are the email address, town and <mask> of the <mask> who are of the least common gender?
107	What are the email addresses, cities, and counties listed for all cusomters who are from the gender that orders less often?	SELECT email_address ,  town_city ,  county FROM Customers WHERE gender_code  =  ( SELECT gender_code FROM Customers GROUP BY gender_code ORDER BY count(*) ASC LIMIT 1 )	"/* Answer the following: What are the email addresses, cities, and counties listed for all cusomters who are from the gender that orders less often? */
SELECT email_address ,  town_city ,  county FROM Customers WHERE gender_code  =  ( SELECT gender_code FROM Customers GROUP BY gender_code ORDER BY count(*) ASC LIMIT 1 )
"	What are the email addresses, cities, and counties listed for all cusomters who are from the gender that orders less often?
110	What is the most uncommon order status?	SELECT order_status_code FROM Orders GROUP BY order_status_code ORDER BY count(*) LIMIT 1	"/* Answer the following: What is the most uncommon order status? */
SELECT order_status_code FROM Orders GROUP BY order_status_code ORDER BY count(*) LIMIT 1
"	What is the most uncommon order status?
111	What is the least common order status?	SELECT order_status_code FROM Orders GROUP BY order_status_code ORDER BY count(*) LIMIT 1	"/* Answer the following: What is the least common order status? */
SELECT order_status_code FROM Orders GROUP BY order_status_code ORDER BY count(*) LIMIT 1
"	What is the least common order status?
116	what are all shipment tracking numbers and shipment dates?	SELECT shipment_tracking_number ,  shipment_date FROM Shipments	"/* Answer the following: what are all shipment tracking numbers and shipment dates? */
SELECT shipment_tracking_number ,  shipment_date FROM Shipments
"	what are all shipment tracking numbers and shipment dates?
117	What are the tracking numbers and dates for all shipments listed?	SELECT shipment_tracking_number ,  shipment_date FROM Shipments	"/* Answer the following: What are the tracking numbers and dates for all shipments listed? */
SELECT shipment_tracking_number ,  shipment_date FROM Shipments
"	What are the tracking numbers and dates for all <mask> listed?
118	What are the color, description and size of the products priced below the maximum price.	SELECT product_color ,  product_description ,  product_size FROM Products WHERE product_price  <  ( SELECT max(product_price) FROM products )	"/* Answer the following: What are the color, description and size of the products priced below the maximum price. */
SELECT product_color ,  product_description ,  product_size FROM Products WHERE product_price  <  ( SELECT max(product_price) FROM products )
"	What are the color, description and size of the <mask> priced below the maximum price.
119	What are the colors , descriptions , and sizes for all products that are not at the maximum price ?	select product_color ,  product_description ,  product_size from products where product_price  !=  ( select max(product_price) from products )	"/* Answer the following: What are the colors , descriptions , and sizes for all products that are not at the maximum price ? */
select product_color ,  product_description ,  product_size from products where product_price  !=  ( select max(product_price) from products )
"	What are the colors , descriptions , and sizes for all <mask> that are not at the maximum price ?
120	Return the names of directors who are older than the average age.	SELECT name FROM director WHERE age  >  (SELECT avg(age) FROM director)	"/* Answer the following: Return the names of directors who are older than the average age. */
SELECT name FROM director WHERE age  >  (SELECT avg(age) FROM director)
"	Return the <mask> of <mask> who are older than the average <mask>.
121	Find the the name of the oldest director.	SELECT name FROM director ORDER BY age DESC LIMIT 1	"/* Answer the following: Find the the name of the oldest director. */
SELECT name FROM director ORDER BY age DESC LIMIT 1
"	Find the the <mask> of the oldest <mask>.
122	How many channels have the word 'bbc' in their internet link?	"SELECT count(*) FROM channel WHERE internet LIKE ""%bbc%"""	"/* Answer the following: How many channels have the word 'bbc' in their internet link? */
SELECT count(*) FROM channel WHERE internet LIKE ""%bbc%""
"	How many <mask> have the word '<mask>' in their <mask> link?
123	How many different digital terrestrial channels are there?	SELECT count(DISTINCT Digital_terrestrial_channel) FROM channel	"/* Answer the following: How many different digital terrestrial channels are there? */
SELECT count(DISTINCT Digital_terrestrial_channel) FROM channel
"	How many different digital terrestrial <mask> are there?
124	List all program titles in the order of starting year. List the most recent one first.	SELECT title FROM program ORDER BY start_year DESC	"/* Answer the following: List all program titles in the order of starting year. List the most recent one first. */
SELECT title FROM program ORDER BY start_year DESC
"	List all <mask> <mask> in the order of starting year. List the most recent one first.
127	Return the title of the program that began most recently.	SELECT title FROM program ORDER BY start_year DESC LIMIT 1	"/* Answer the following: Return the title of the program that began most recently. */
SELECT title FROM program ORDER BY start_year DESC LIMIT 1
"	Return the <mask> of the <mask> that began most recently.
130	Find the number of channels that do not run any program.	SELECT count(*) FROM channel WHERE channel_id NOT IN (SELECT channel_id FROM program)	"/* Answer the following: Find the number of channels that do not run any program. */
SELECT count(*) FROM channel WHERE channel_id NOT IN (SELECT channel_id FROM program)
"	Find the number of <mask> that do not run any <mask>.
133	Find the name of the directors whose age is between 30 and 60.	SELECT name FROM director WHERE age BETWEEN 30 AND 60	"/* Answer the following: Find the name of the directors whose age is between 30 and 60. */
SELECT name FROM director WHERE age BETWEEN 30 AND 60
"	Find the <mask> of the <mask> whose <mask> is between 30 and 60.
136	How many radios are there?	SELECT count(*) FROM radio	"/* Answer the following: How many radios are there? */
SELECT count(*) FROM radio
"	How many <mask> are there?
137	List the transmitters of radios in ascending order of erp kw .	select transmitter from radio order by erp_kw asc	"/* Answer the following: List the transmitters of radios in ascending order of erp kw . */
select transmitter from radio order by erp_kw asc
"	List the <mask> of <mask> in ascending <mask> of erp kw .
138	What are the names and original air dates of tv shows?	SELECT tv_show_name ,  Original_Airdate FROM tv_show	"/* Answer the following: What are the names and original air dates of tv shows? */
SELECT tv_show_name ,  Original_Airdate FROM tv_show
"	What are the names and original air dates of tv shows?
139	"List the station names of city channels whose affiliation is not ""ABC""."	"SELECT Station_name FROM city_channel WHERE Affiliation != ""ABC"""	"/* Answer the following: List the station names of city channels whose affiliation is not ""ABC"". */
SELECT Station_name FROM city_channel WHERE Affiliation != ""ABC""
"	"List the station names of city channels whose <mask> is not ""ABC""."
140	Show the transmitters of radios whose ERP is bigger than 150 or smaller than 30.	SELECT Transmitter FROM radio WHERE ERP_kW  >  150 OR ERP_kW  <  30	"/* Answer the following: Show the transmitters of radios whose ERP is bigger than 150 or smaller than 30. */
SELECT Transmitter FROM radio WHERE ERP_kW  >  150 OR ERP_kW  <  30
"	Show the <mask> of <mask> whose ERP is bigger than 150 or smaller than 30.
141	What is the transmitter of the radio with the largest ERP_kW?	SELECT Transmitter FROM radio ORDER BY ERP_kW DESC LIMIT 1	"/* Answer the following: What is the transmitter of the radio with the largest ERP_kW? */
SELECT Transmitter FROM radio ORDER BY ERP_kW DESC LIMIT 1
"	What is the <mask> of the <mask> with the largest <mask>?
142	What is the average ERP across all radios?	SELECT avg(ERP_kW) FROM radio	"/* Answer the following: What is the average ERP across all radios? */
SELECT avg(ERP_kW) FROM radio
"	What is the average ERP across all <mask>?
143	Show the different affiliations of city channels and the number of city channels with each affiliation.	SELECT Affiliation ,  COUNT(*) FROM city_channel GROUP BY Affiliation	"/* Answer the following: Show the different affiliations of city channels and the number of city channels with each affiliation. */
SELECT Affiliation ,  COUNT(*) FROM city_channel GROUP BY Affiliation
"	Show the different <mask> of city channels and the number of city channels with each <mask>.
144	Please show the most common affiliation for city channels.	SELECT Affiliation FROM city_channel GROUP BY Affiliation ORDER BY COUNT(*) DESC LIMIT 1	"/* Answer the following: Please show the most common affiliation for city channels. */
SELECT Affiliation FROM city_channel GROUP BY Affiliation ORDER BY COUNT(*) DESC LIMIT 1
"	Please show the most common <mask> for city channels.
145	List the affiliations shared by more than three city channels.	SELECT Affiliation FROM city_channel GROUP BY Affiliation HAVING COUNT(*)  >  3	"/* Answer the following: List the affiliations shared by more than three city channels. */
SELECT Affiliation FROM city_channel GROUP BY Affiliation HAVING COUNT(*)  >  3
"	List the <mask> shared by more than three city channels.
146	Show the cities and station names of city channels in ascending alphabetical order of station name.	SELECT City ,  Station_name FROM city_channel ORDER BY Station_name ASC	"/* Answer the following: Show the cities and station names of city channels in ascending alphabetical order of station name. */
SELECT City ,  Station_name FROM city_channel ORDER BY Station_name ASC
"	Show the cities and station names of <mask> channels in ascending alphabetical order of station name.
150	Show the distinct transmitters of radios that are not associated with any city channel.	SELECT Transmitter FROM radio WHERE Radio_ID NOT IN (SELECT Radio_ID FROM city_channel_radio)	"/* Answer the following: Show the distinct transmitters of radios that are not associated with any city channel. */
SELECT Transmitter FROM radio WHERE Radio_ID NOT IN (SELECT Radio_ID FROM city_channel_radio)
"	Show the distinct <mask> of <mask> that are not associated with any city channel.
151	What is the model of the vehicle with maximum top speed whose power is higher than 6000?	SELECT model FROM vehicle WHERE power  >  6000 ORDER BY top_speed DESC LIMIT 1	"/* Answer the following: What is the model of the vehicle with maximum top speed whose power is higher than 6000? */
SELECT model FROM vehicle WHERE power  >  6000 ORDER BY top_speed DESC LIMIT 1
"	What is the <mask> of the <mask> with maximum top speed whose <mask> is higher than 6000?
152	Of vehicles with power over 6000, return the model of the vehicle with the greatest top speed.	SELECT model FROM vehicle WHERE power  >  6000 ORDER BY top_speed DESC LIMIT 1	"/* Answer the following: Of vehicles with power over 6000, return the model of the vehicle with the greatest top speed. */
SELECT model FROM vehicle WHERE power  >  6000 ORDER BY top_speed DESC LIMIT 1
"	Of <mask> with <mask> over 6000, return the <mask> of the <mask> with the greatest top speed.
153	What are the names of the drivers who are citizens of the 'United States'?	SELECT name FROM driver WHERE citizenship  =  'United States'	"/* Answer the following: What are the names of the drivers who are citizens of the 'United States'? */
SELECT name FROM driver WHERE citizenship  =  'United States'
"	What are the <mask> of the <mask> who are citizens of the 'United <mask>'?
154	Return the names of drivers with citizenship from the United States.	SELECT name FROM driver WHERE citizenship  =  'United States'	"/* Answer the following: Return the names of drivers with citizenship from the United States. */
SELECT name FROM driver WHERE citizenship  =  'United States'
"	Return the <mask> of <mask> with <mask> from the United <mask>.
155	How many vehicles has a driver driven at most, and what is the driver id of the driver who has driven this many vehicles?	SELECT count(*) ,  driver_id FROM vehicle_driver GROUP BY driver_id ORDER BY count(*) DESC LIMIT 1	"/* Answer the following: How many vehicles has a driver driven at most, and what is the driver id of the driver who has driven this many vehicles? */
SELECT count(*) ,  driver_id FROM vehicle_driver GROUP BY driver_id ORDER BY count(*) DESC LIMIT 1
"	How many vehicles has a driver driven at most, and what is the driver id of the driver who has driven this many vehicles?
156	What is the id of the driver who has driven the most vehicles, and how many vehicles is this?	SELECT count(*) ,  driver_id FROM vehicle_driver GROUP BY driver_id ORDER BY count(*) DESC LIMIT 1	"/* Answer the following: What is the id of the driver who has driven the most vehicles, and how many vehicles is this? */
SELECT count(*) ,  driver_id FROM vehicle_driver GROUP BY driver_id ORDER BY count(*) DESC LIMIT 1
"	What is the id of the driver who has driven the most vehicles, and how many vehicles is this?
